num,x_coord,y_coord,radius,angle_rad,label,is_pseudo,pseudo_types
1,0,0,0.0,0.0,comp,0,
2,1,0,1.0,0.0,prime,0,
3,1,1,1.4142,0.7854,prime,0,
4,0,1,1.0,1.5708,pseudo,1,FERMAT_5
5,-1,1,1.4142,2.3562,prime,0,
6,-1,0,1.0,3.1416,comp,0,
7,-1,-1,1.4142,3.927,prime,0,
8,0,-1,1.0,4.7124,comp,0,
9,1,-1,1.4142,5.4978,comp,0,
10,2,-1,2.2361,5.8195,comp,0,
11,2,0,2.0,0.0,prime,0,
12,2,1,2.2361,0.4636,comp,0,
13,2,2,2.8284,0.7854,prime,0,
14,1,2,2.2361,1.1071,comp,0,
15,0,2,2.0,1.5708,comp,0,
16,-1,2,2.2361,2.0344,comp,0,
17,-2,2,2.8284,2.3562,prime,0,
18,-2,1,2.2361,2.6779,comp,0,
19,-2,0,2.0,3.1416,prime,0,
20,-2,-1,2.2361,3.6052,comp,0,
21,-2,-2,2.8284,3.927,comp,0,
22,-1,-2,2.2361,4.2487,comp,0,
23,0,-2,2.0,4.7124,prime,0,
24,1,-2,2.2361,5.176,comp,0,
25,2,-2,2.8284,5.4978,comp,0,
26,3,-2,3.6056,5.6952,comp,0,
27,3,-1,3.1623,5.9614,comp,0,
28,3,0,3.0,0.0,comp,0,
29,3,1,3.1623,0.3218,prime,0,
30,3,2,3.6056,0.588,comp,0,
31,3,3,4.2426,0.7854,prime,0,
32,2,3,3.6056,0.9828,comp,0,
33,1,3,3.1623,1.249,comp,0,
34,0,3,3.0,1.5708,comp,0,
35,-1,3,3.1623,1.8925,comp,0,
36,-2,3,3.6056,2.1588,comp,0,
37,-3,3,4.2426,2.3562,prime,0,
38,-3,2,3.6056,2.5536,comp,0,
39,-3,1,3.1623,2.8198,comp,0,
40,-3,0,3.0,3.1416,comp,0,
41,-3,-1,3.1623,3.4633,prime,0,
42,-3,-2,3.6056,3.7296,comp,0,
43,-3,-3,4.2426,3.927,prime,0,
44,-2,-3,3.6056,4.1244,comp,0,
45,-1,-3,3.1623,4.3906,comp,0,
46,0,-3,3.0,4.7124,comp,0,
47,1,-3,3.1623,5.0341,prime,0,
48,2,-3,3.6056,5.3004,comp,0,
49,3,-3,4.2426,5.4978,comp,0,
50,4,-3,5.0,5.6397,comp,0,
51,4,-2,4.4721,5.8195,comp,0,
52,4,-1,4.1231,6.0382,comp,0,
53,4,0,4.0,0.0,prime,0,
54,4,1,4.1231,0.245,comp,0,
55,4,2,4.4721,0.4636,comp,0,
56,4,3,5.0,0.6435,comp,0,
57,4,4,5.6569,0.7854,comp,0,
58,3,4,5.0,0.9273,comp,0,
59,2,4,4.4721,1.1071,prime,0,
60,1,4,4.1231,1.3258,comp,0,
61,0,4,4.0,1.5708,prime,0,
62,-1,4,4.1231,1.8158,comp,0,
63,-2,4,4.4721,2.0344,comp,0,
64,-3,4,5.0,2.2143,comp,0,
65,-4,4,5.6569,2.3562,comp,0,
66,-4,3,5.0,2.4981,comp,0,
67,-4,2,4.4721,2.6779,prime,0,
68,-4,1,4.1231,2.8966,comp,0,
69,-4,0,4.0,3.1416,comp,0,
70,-4,-1,4.1231,3.3866,comp,0,
71,-4,-2,4.4721,3.6052,prime,0,
72,-4,-3,5.0,3.7851,comp,0,
73,-4,-4,5.6569,3.927,prime,0,
74,-3,-4,5.0,4.0689,comp,0,
75,-2,-4,4.4721,4.2487,comp,0,
76,-1,-4,4.1231,4.4674,comp,0,
77,0,-4,4.0,4.7124,comp,0,
78,1,-4,4.1231,4.9574,comp,0,
79,2,-4,4.4721,5.176,prime,0,
80,3,-4,5.0,5.3559,comp,0,
81,4,-4,5.6569,5.4978,comp,0,
82,5,-4,6.4031,5.6084,comp,0,
83,5,-3,5.831,5.7428,prime,0,
84,5,-2,5.3852,5.9027,comp,0,
85,5,-1,5.099,6.0858,comp,0,
86,5,0,5.0,0.0,comp,0,
87,5,1,5.099,0.1974,comp,0,
88,5,2,5.3852,0.3805,comp,0,
89,5,3,5.831,0.5404,prime,0,
90,5,4,6.4031,0.6747,comp,0,
91,5,5,7.0711,0.7854,pseudo,1,FERMAT_3
92,4,5,6.4031,0.8961,comp,0,
93,3,5,5.831,1.0304,comp,0,
94,2,5,5.3852,1.1903,comp,0,
95,1,5,5.099,1.3734,comp,0,
96,0,5,5.0,1.5708,comp,0,
97,-1,5,5.099,1.7682,prime,0,
98,-2,5,5.3852,1.9513,comp,0,
99,-3,5,5.831,2.1112,comp,0,
100,-4,5,6.4031,2.2455,comp,0,
101,-5,5,7.0711,2.3562,prime,0,
102,-5,4,6.4031,2.4669,comp,0,
103,-5,3,5.831,2.6012,prime,0,
104,-5,2,5.3852,2.7611,comp,0,
105,-5,1,5.099,2.9442,comp,0,
106,-5,0,5.0,3.1416,comp,0,
107,-5,-1,5.099,3.339,prime,0,
108,-5,-2,5.3852,3.5221,comp,0,
109,-5,-3,5.831,3.682,prime,0,
110,-5,-4,6.4031,3.8163,comp,0,
111,-5,-5,7.0711,3.927,comp,0,
112,-4,-5,6.4031,4.0376,comp,0,
113,-3,-5,5.831,4.172,prime,0,
114,-2,-5,5.3852,4.3319,comp,0,
115,-1,-5,5.099,4.515,comp,0,
116,0,-5,5.0,4.7124,comp,0,
117,1,-5,5.099,4.9098,comp,0,
118,2,-5,5.3852,5.0929,comp,0,
119,3,-5,5.831,5.2528,comp,0,
120,4,-5,6.4031,5.3871,comp,0,
121,5,-5,7.0711,5.4978,pseudo,1,FERMAT_3|MILLER_RABIN_3|EULER_3|EULER_JACOBI_3
122,6,-5,7.8102,5.5884,comp,0,
123,6,-4,7.2111,5.6952,comp,0,
124,6,-3,6.7082,5.8195,pseudo,1,FERMAT_5
125,6,-2,6.3246,5.9614,comp,0,
126,6,-1,6.0828,6.118,comp,0,
127,6,0,6.0,0.0,prime,0,
128,6,1,6.0828,0.1651,comp,0,
129,6,2,6.3246,0.3218,comp,0,
130,6,3,6.7082,0.4636,comp,0,
131,6,4,7.2111,0.588,prime,0,
132,6,5,7.8102,0.6947,comp,0,
133,6,6,8.4853,0.7854,comp,0,
134,5,6,7.8102,0.8761,comp,0,
135,4,6,7.2111,0.9828,comp,0,
136,3,6,6.7082,1.1071,comp,0,
137,2,6,6.3246,1.249,prime,0,
138,1,6,6.0828,1.4056,comp,0,
139,0,6,6.0,1.5708,prime,0,
140,-1,6,6.0828,1.7359,comp,0,
141,-2,6,6.3246,1.8925,comp,0,
142,-3,6,6.7082,2.0344,comp,0,
143,-4,6,7.2111,2.1588,comp,0,
144,-5,6,7.8102,2.2655,comp,0,
145,-6,6,8.4853,2.3562,comp,0,
146,-6,5,7.8102,2.4469,comp,0,
147,-6,4,7.2111,2.5536,comp,0,
148,-6,3,6.7082,2.6779,comp,0,
149,-6,2,6.3246,2.8198,prime,0,
150,-6,1,6.0828,2.9764,comp,0,
151,-6,0,6.0,3.1416,prime,0,
152,-6,-1,6.0828,3.3067,comp,0,
153,-6,-2,6.3246,3.4633,comp,0,
154,-6,-3,6.7082,3.6052,comp,0,
155,-6,-4,7.2111,3.7296,comp,0,
156,-6,-5,7.8102,3.8363,comp,0,
157,-6,-6,8.4853,3.927,prime,0,
158,-5,-6,7.8102,4.0177,comp,0,
159,-4,-6,7.2111,4.1244,comp,0,
160,-3,-6,6.7082,4.2487,comp,0,
161,-2,-6,6.3246,4.3906,comp,0,
162,-1,-6,6.0828,4.5472,comp,0,
163,0,-6,6.0,4.7124,prime,0,
164,1,-6,6.0828,4.8775,comp,0,
165,2,-6,6.3246,5.0341,comp,0,
